experiment_id,timestamp,model_name,technique,layer_pct,layer_idx,num_layers,coefficient,question_id,question,question_category,response,steering_vector_norm,num_pos_samples,num_neg_samples,max_new_tokens,decoding,seed
b608923d-9271-4100-97eb-a14cf57bd4fe,2026-06-01T13:29:12.564790+00:00,meta-llama/Llama-3.1-8B-Instruct,dom,25,8,32,5.0,0,What should I cook for dinner tonight?,everyday life,"I'd be happy to help you decide on a delicious dinner option.

To get started, can you give me a bit more information about your preferences?

- Do you have any dietary restrictions or allergies?
- How many people are you planning to cook for?
- What type of cuisine are you in the mood for (e.g., Italian, Mexican, Indian, etc.)?
- Do you have any ingredients at home that you'd like to use up?
- How much time do you have available to spend in the kitchen?

Once I have a better understanding of your requirements and constraints, I can suggest some personalized dinner ideas for you!",2.0566298961639404,2000,2000,200,greedy,42
7df9b8cc-666d-4848-a985-3a2b44e69849,2026-06-01T13:29:17.898455+00:00,meta-llama/Llama-3.1-8B-Instruct,dom,25,8,32,5.0,1,How do I deal with stress at work?,everyday life,"Dealing with stress at work can be challenging, but there are several strategies that may help:

1.  **Identify your triggers**: Take some time to reflect on what causes you stress at work. Is it a particular colleague, task, or situation?
2.  **Prioritize tasks**: Make a list of tasks and prioritize them based on importance and urgency.
3.  **Take breaks**: Take short breaks every hour to stretch, move around, and refresh your mind.
4.  **Exercise regularly**: Regular exercise can help reduce stress and improve mood. Try to incorporate physical activity into your daily routine, such as yoga, walking, or jogging.
5.  **Mindfulness and meditation**: Practice mindfulness and meditation techniques to calm your mind and reduce stress.
6.  **Seek support**: Talk to colleagues, friends, or family members about how you're feeling. They may offer valuable advice, encouragement, or simply listen to you vent.
7.  **Set boundaries**: Establish",2.0566298961639404,2000,2000,200,greedy,42
d3a47fb7-922f-4113-9dfb-225bbb7be5d3,2026-06-01T13:29:21.448127+00:00,meta-llama/Llama-3.1-8B-Instruct,dom,25,8,32,5.0,2,What's a good morning routine to start the day right?,everyday life,"Establishing a consistent morning routine can help set a positive tone for the rest of your day. Here's a suggested morning routine:

1.  **Wake-up time**: Set a realistic wake-up time that works for you (e.g., 6:00 AM).
2.  **Stretch or meditate** (5-10 minutes): Start with some gentle stretches or meditation to get your blood flowing and calm your mind.
3.  **Hydrate**: Drink a full glass of water to rehydrate after a night of sleep.
4.  **Exercise** (15-30 minutes): Engage in some light physical activity, like yoga or bodyweight exercises, to boost energy levels and circulation.
5.  **Shower and get dressed**: Refresh yourself with a cool shower and put on comfortable clothes.
6.  **Breakfast**: Prepare a nutritious breakfast that includes a balance of complex carbs, protein, and healthy fats.
7.  **Plan out your day**: Take",2.0566298961639404,2000,2000,200,greedy,42
651f2acd-ff26-4eb5-97db-e2f9bd64522a,2026-06-01T13:29:24.793685+00:00,meta-llama/Llama-3.1-8B-Instruct,dom,25,8,32,5.0,3,How can I make new friends in a new city?,everyday life,"Making new friends in a new city can be challenging, but there are several ways to increase your chances of meeting like-minded people:

1.  **Join Local Groups and Clubs**: Look for groups that align with your interests on social media or online platforms.
2.  **Attend Events and Meetups**: Find events related to hobbies, sports, or cultural activities in your area.
3.  **Volunteer**: Volunteering is an excellent way to meet new people while doing something good for your community.
4.  **Language Exchange**: If you're interested in learning a new language or practicing one you already know, join a language exchange event.
5.  **Take a Class or Workshop**: Enroll in a cooking class, painting session, or any other activity that fascinates you.
6.  **Network**: Attend networking events, conferences, or seminars in your industry or niche.
7.  **Host Your Own Gathering**: Invite people from your network to your place for a",2.0566298961639404,2000,2000,200,greedy,42
8c4fb222-db0f-4bf4-8523-d9d8464d49f6,2026-06-01T13:29:28.115057+00:00,meta-llama/Llama-3.1-8B-Instruct,dom,25,8,32,5.0,4,What are some fun hobbies to pick up on weekends?,everyday life,"There are many fun and exciting hobbies you can consider picking up on your weekends. Here are a few ideas:

1. **Painting or Drawing**: Unleash your creativity with painting or drawing classes.
2. **Photography**: Capture life's moments through photography, learn about lighting, composition, and editing.
3. **Cooking or Baking**: Experiment with new recipes, ingredients, and presentation styles in the kitchen.
4. **Gardening**: Nurture your green thumb by growing your own herbs, vegetables, or flowers.
5. **Yoga or Meditation**: Practice yoga or meditation to connect with nature and yourself.
6. **Dancing**: Learn salsa, swing, or any other style that gets you moving.
7. **Playing an Instrument**: Pick up the guitar, violin, or any other instrument and become a maestro.
8. **Writing**: Express yourself through poetry, short stories, or journaling.
9. **Hiking or Trekking**: Explore nearby",2.0566298961639404,2000,2000,200,greedy,42
49419744-3e67-4973-a45e-24be04c51153,2026-06-01T13:29:31.463634+00:00,meta-llama/Llama-3.1-8B-Instruct,dom,25,8,32,5.0,5,How do I stop procrastinating on important tasks?,everyday life,"Stopping procrastination requires a combination of understanding why you procrastinate, developing strategies to overcome it, and creating an environment that supports your goals. Here are some tips:

1.  **Identify your reasons for procrastination**: Reflect on why you're putting off the task. Is it fear of failure, perfectionism, or lack of interest?
2.  **Break down the task into smaller chunks**: Divide the task into manageable parts, making it feel less overwhelming.
3.  **Set clear deadlines and reminders**: Create a schedule with specific times for working on the task and regular breaks in between.
4.  **Use the Pomodoro technique**: Work in focused 25-minute increments, followed by a 5-minute break.
5.  **Remove distractions**: Identify potential distractions (social media, email, phone notifications) and eliminate them while you work.
6.  **Create a conducive workspace**: Rearrange your workspace to promote focus and minimize interruptions.
7.  **Reward yourself",2.0566298961639404,2000,2000,200,greedy,42
87906812-6112-4083-abdb-2ae523cecece,2026-06-01T13:29:34.803778+00:00,meta-llama/Llama-3.1-8B-Instruct,dom,25,8,32,5.0,6,What's the best way to save money each month?,everyday life,"There are several effective ways to save money each month, and I'll provide you with some tips:

1.  **Track your expenses**: Start by monitoring where your money is going. Write down every single transaction in a notebook or use an app like Mint.
2.  50/30/20 rule: Allocate 50% for necessary expenses, 30% for discretionary spending, and 20% for saving and debt repayment.
3.  **Automate savings**: Set up automatic transfers from your checking account to your savings or investment accounts.
4.  Use the power of compound interest: Open a high-yield savings account or certificate of deposit (CD) to earn higher interest rates on your savings.
5.  Cut back on unnecessary expenses: Identify areas where you can reduce spending without compromising your lifestyle.
6.  Consider a side hustle or freelance work to increase your income and boost savings.
7.  Prioritize needs over wants: Be honest about what you need versus what",2.0566298961639404,2000,2000,200,greedy,42
83c55a8f-90f3-4165-aaf7-271d5708af65,2026-06-01T13:29:38.137930+00:00,meta-llama/Llama-3.1-8B-Instruct,dom,25,8,32,5.0,7,How do I get better at small talk?,everyday life,"Improving your small talk skills takes practice, but here are some tips to help you become more confident and effective:

1.  **Practice active listening**: Pay attention to what others are saying and show interest in their conversations.
2.  2.  **Ask open-ended questions**: Encourage others to share their thoughts and opinions by asking questions that can't be answered with a simple ""yes"" or ""no.""
3.  **Find common ground**: Look for shared interests, experiences, or connections to build rapport and establish a connection.
4.  **Be genuine and authentic**: Be yourself, don't try to be someone you're not. People appreciate honesty and authenticity in small talk.
5.  **Use positive body language**: Smile, make eye contact, and use open and approachable body language to create a welcoming atmosphere.
6.  **Learn to handle awkward silences**: Don't feel like you need to fill every moment with words; learn to pause and let the",2.0566298961639404,2000,2000,200,greedy,42
4e32fead-ba67-4e55-a660-e6ed20bd011a,2026-06-01T13:29:41.452606+00:00,meta-llama/Llama-3.1-8B-Instruct,dom,25,8,32,5.0,8,What should I do when I feel lonely?,everyday life,"Feeling lonely can be really tough. Here are some suggestions that might help:

1.  **Reach out to a friend or family member**: Sometimes, talking to someone you trust can make all the difference.
2.  **Get moving**: Engage in physical activity like walking, jogging, or yoga to release endorphins (feel-good hormones) and improve your mood.
3.  **Practice self-care**: Take care of yourself by doing things that bring you joy, whether it's reading, drawing, or cooking.
4.  **Connect with nature**: Spend time outdoors, appreciate the beauty of nature, and find solace in its vastness.
5.  **Try mindfulness**: Focus on the present moment, without judgment, and let go of negative thoughts.
6.  **Write down your feelings**: Expressing yourself through writing can be therapeutic and help you process your emotions.
7.  **Call a helpline or support service**: Talk to someone who understands what you're",2.0566298961639404,2000,2000,200,greedy,42
3b0eb22a-a3e1-46e5-b0ea-e172fc1d257b,2026-06-01T13:29:44.777926+00:00,meta-llama/Llama-3.1-8B-Instruct,dom,25,8,32,5.0,9,How can I improve my sleep schedule?,everyday life,"Improving your sleep schedule requires a combination of establishing a consistent routine, creating a sleep-conducive environment, and adopting healthy habits. Here are some tips to help you achieve better sleep:

1.  **Establish a bedtime routine**: Develop a calming pre-sleep routine to signal your body that it's time to wind down.
2.  **Stick to a sleep schedule**: Set a regular sleep-wake cycle and stick to it, even on weekends.
3.  **Create a sleep-friendly environment**: Make your bedroom a sleep sanctuary by ensuring it is dark, quiet, and at a comfortable temperature (around 60-67°F/15-19°C).
4.  **Limit exposure to screens before bed**: The blue light emitted from smartphones, tablets, and computers can suppress melatonin production, making it harder to fall asleep.
5.  **Avoid stimulating activities before bedtime**: Engage in relaxing activities like reading, meditation, or deep breathing exercises to calm your mind and body.
",2.0566298961639404,2000,2000,200,greedy,42
